id,subject,year,question_number,marks,question_type,language,model,response_length_words,memo_answer_score,memo_steps_score,combined_score,error
bio_2025_p1_q1_1_1,Life Sciences,2025,1.1.1,2,multiple_choice,en,models/gemini-2.5-flash,113,1.0,0.6667,0.8667,
bio_2025_p1_q1_1_1,Life Sciences,2025,1.1.1,2,multiple_choice,af,models/gemini-2.5-flash,91,1.0,0.3333,0.7333,
bio_2025_p1_q1_1_2,Life Sciences,2025,1.1.2,2,multiple_choice,en,models/gemini-2.5-flash,230,1.0,0.8,0.92,
bio_2025_p1_q1_1_2,Life Sciences,2025,1.1.2,2,multiple_choice,af,models/gemini-2.5-flash,157,1.0,0.2,0.68,
bio_2025_p1_q1_1_3,Life Sciences,2025,1.1.3,2,multiple_choice,en,models/gemini-2.5-flash,94,1.0,0.9,0.96,
bio_2025_p1_q1_1_3,Life Sciences,2025,1.1.3,2,multiple_choice,af,models/gemini-2.5-flash,64,1.0,0.4,0.76,
bio_2025_p1_q1_1_4,Life Sciences,2025,1.1.4,2,multiple_choice,en,models/gemini-2.5-flash,167,1.0,0.9,0.96,
bio_2025_p1_q1_1_4,Life Sciences,2025,1.1.4,2,multiple_choice,af,models/gemini-2.5-flash,118,1.0,0.2,0.68,
bio_2025_p1_q1_1_7,Life Sciences,2025,1.1.7,2,multiple_choice,en,models/gemini-2.5-flash,287,1.0,0.8889,0.9556,
bio_2025_p1_q1_1_7,Life Sciences,2025,1.1.7,2,multiple_choice,af,models/gemini-2.5-flash,183,1.0,0.5556,0.8222,
bio_2025_p1_q1_1_9,Life Sciences,2025,1.1.9,2,multiple_choice,en,models/gemini-2.5-flash,255,0.0,0.7619,0.3048,
bio_2025_p1_q1_1_9,Life Sciences,2025,1.1.9,2,multiple_choice,af,models/gemini-2.5-flash,276,1.0,0.1905,0.6762,
bio_2025_p1_q1_1_10,Life Sciences,2025,1.1.10,2,multiple_choice,en,models/gemini-2.5-flash,305,1.0,0.7895,0.9158,
bio_2025_p1_q1_1_10,Life Sciences,2025,1.1.10,2,multiple_choice,af,models/gemini-2.5-flash,195,1.0,0.1579,0.6632,
bio_2025_p1_q1_2_1,Life Sciences,2025,1.2.1,1,fill_in_blank,en,models/gemini-2.5-flash,1,1.0,1.0,1.0,
