id,subject,year,question_number,marks,question_type,language,model,response_length_words,memo_answer_score,memo_steps_score,combined_score,gemini_judge_score,claude_judge_score,error
math_2025_p1_q1_1_1,Mathematics,2025,1.1.1,2,short_answer,en,models/gemini-2.5-flash,127,0.75,0.6667,0.7167,,1.0,
math_2025_p1_q1_1_1,Mathematics,2025,1.1.1,2,short_answer,af,models/gemini-2.5-flash,107,0.5,0.6667,0.5667,,1.0,
math_2025_p1_q1_1_2,Mathematics,2025,1.1.2,4,short_answer,en,models/gemini-2.5-flash,173,0.25,0.4444,0.3278,,1.0,
math_2025_p1_q1_1_2,Mathematics,2025,1.1.2,4,short_answer,af,models/gemini-2.5-flash,199,0.25,0.2222,0.2389,,1.0,
math_2025_p1_q1_1_3,Mathematics,2025,1.1.3,4,short_answer,en,models/gemini-2.5-flash,271,0.75,0.6667,0.7167,,1.0,
math_2025_p1_q1_1_3,Mathematics,2025,1.1.3,4,short_answer,af,models/gemini-2.5-flash,272,0.5,0.2222,0.3889,,1.0,
math_2025_p1_q1_1_4,Mathematics,2025,1.1.4,4,short_answer,en,models/gemini-2.5-flash,356,0.75,0.55,0.67,,1.0,
math_2025_p1_q1_1_4,Mathematics,2025,1.1.4,4,short_answer,af,models/gemini-2.5-flash,306,0.5,0.2,0.38,,1.0,
math_2025_p1_q1_1_5,Mathematics,2025,1.1.5,5,short_answer,en,models/gemini-2.5-flash,365,1.0,0.5476,0.819,,1.0,
math_2025_p1_q1_1_5,Mathematics,2025,1.1.5,5,short_answer,af,models/gemini-2.5-flash,343,1.0,0.1429,0.6571,,1.0,
math_2025_p1_q1_2,Mathematics,2025,1.2,6,short_answer,en,models/gemini-2.5-flash,345,0.625,0.6098,0.6189,,1.0,
math_2025_p1_q1_2,Mathematics,2025,1.2,6,short_answer,af,models/gemini-2.5-flash,453,0.5,0.2439,0.3976,,1.0,
math_2025_p1_q2_1_1,Mathematics,2025,2.1.1,3,short_answer,en,models/gemini-2.5-flash,308,1.0,0.875,0.95,,1.0,
math_2025_p1_q2_1_1,Mathematics,2025,2.1.1,3,short_answer,af,models/gemini-2.5-flash,0,0.0,0.0,0.0,,0.0,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
math_2025_p1_q2_1_2,Mathematics,2025,2.1.2,3,short_answer,en,models/gemini-2.5-flash,282,0.2,0.6,0.36,,0.95,
math_2025_p1_q2_1_2,Mathematics,2025,2.1.2,3,short_answer,af,models/gemini-2.5-flash,273,0.2,0.3,0.24,,1.0,
math_2025_p1_q2_1_3,Mathematics,2025,2.1.3,2,short_answer,en,models/gemini-2.5-flash,297,0.25,0.6,0.39,,1.0,
math_2025_p1_q2_1_3,Mathematics,2025,2.1.3,2,short_answer,af,models/gemini-2.5-flash,259,0.0,0.3333,0.1333,,1.0,
math_2025_p1_q2_2_1,Mathematics,2025,2.2.1,2,short_answer,en,models/gemini-2.5-flash,203,1.0,0.8148,0.9259,,1.0,
math_2025_p1_q2_2_1,Mathematics,2025,2.2.1,2,short_answer,af,models/gemini-2.5-flash,87,0.75,0.2963,0.5685,,0.5,
math_2025_p1_q2_2_2,Mathematics,2025,2.2.2,5,short_answer,en,models/gemini-2.5-flash,532,1.0,0.6889,0.8756,,1.0,
math_2025_p1_q2_2_2,Mathematics,2025,2.2.2,5,short_answer,af,models/gemini-2.5-flash,433,1.0,0.3556,0.7422,,1.0,
math_2025_p1_q3_1,Mathematics,2025,3.1,2,short_answer,en,models/gemini-2.5-flash,361,0.6667,0.76,0.704,,1.0,
math_2025_p1_q3_1,Mathematics,2025,3.1,2,short_answer,af,models/gemini-2.5-flash,372,0.6667,0.32,0.528,,1.0,
math_2025_p1_q3_2,Mathematics,2025,3.2,3,short_answer,en,models/gemini-2.5-flash,535,1.0,0.8333,0.9333,,1.0,
math_2025_p1_q3_2,Mathematics,2025,3.2,3,short_answer,af,models/gemini-2.5-flash,228,0.4,0.1667,0.3067,,0.3,
math_2025_p1_q3_3,Mathematics,2025,3.3,3,short_answer,en,models/gemini-2.5-flash,173,0.8571,0.619,0.7619,,0.95,
math_2025_p1_q3_3,Mathematics,2025,3.3,3,short_answer,af,models/gemini-2.5-flash,160,0.4286,0.2857,0.3714,,0.95,
math_2025_p1_q3_4,Mathematics,2025,3.4,2,short_answer,en,models/gemini-2.5-flash,383,1.0,0.7073,0.8829,,1.0,
math_2025_p1_q3_4,Mathematics,2025,3.4,2,short_answer,af,models/gemini-2.5-flash,213,0.5,0.3659,0.4463,,1.0,
math_2025_p1_q4_1,Mathematics,2025,4.1,1,short_answer,en,models/gemini-2.5-flash,140,0.5,0.8,0.62,,1.0,
math_2025_p1_q4_1,Mathematics,2025,4.1,1,short_answer,af,models/gemini-2.5-flash,131,0.5,0.5,0.5,,1.0,
