id,subject,year,question_number,marks,question_type,language,model,response_length_words,memo_answer_score,memo_steps_score,combined_score,gemini_judge_score,claude_judge_score,error
bus_2025_q1_1_1,Business Studies,2025,1.1.1,2,multiple_choice,en,models/gemini-2.5-flash,45,1.0,0.5714,0.8286,,1.0,
bus_2025_q1_1_1,Business Studies,2025,1.1.1,2,multiple_choice,af,models/gemini-2.5-flash,35,1.0,0.5714,0.8286,,1.0,
bus_2025_q1_1_2,Business Studies,2025,1.1.2,2,multiple_choice,en,models/gemini-2.5-flash,36,1.0,0.6667,0.8667,,1.0,
bus_2025_q1_1_2,Business Studies,2025,1.1.2,2,multiple_choice,af,models/gemini-2.5-flash,36,1.0,0.6667,0.8667,,0.95,
bus_2025_q1_1_3,Business Studies,2025,1.1.3,2,multiple_choice,en,models/gemini-2.5-flash,80,1.0,0.6667,0.8667,,1.0,
bus_2025_q1_1_3,Business Studies,2025,1.1.3,2,multiple_choice,af,models/gemini-2.5-flash,97,1.0,0.6667,0.8667,,1.0,
bus_2025_q1_1_4,Business Studies,2025,1.1.4,2,multiple_choice,en,models/gemini-2.5-flash,205,1.0,0.5385,0.8154,,0.0,
bus_2025_q1_1_4,Business Studies,2025,1.1.4,2,multiple_choice,af,models/gemini-2.5-flash,170,1.0,0.5385,0.8154,,0.0,
bus_2025_q1_1_5,Business Studies,2025,1.1.5,2,multiple_choice,en,models/gemini-2.5-flash,92,1.0,0.6667,0.8667,,1.0,
bus_2025_q1_1_5,Business Studies,2025,1.1.5,2,multiple_choice,af,models/gemini-2.5-flash,52,1.0,0.6667,0.8667,,1.0,
bus_2025_q1_2_1,Business Studies,2025,1.2.1,2,fill_in_blank,en,models/gemini-2.5-flash,14,1.0,0.5,0.8,,1.0,
bus_2025_q1_2_1,Business Studies,2025,1.2.1,2,fill_in_blank,af,models/gemini-2.5-flash,12,0.0,0.0,0.0,,0.0,
bus_2025_q1_2_2,Business Studies,2025,1.2.2,2,fill_in_blank,en,models/gemini-2.5-flash,1,1.0,0.5,0.8,,1.0,
bus_2025_q1_2_2,Business Studies,2025,1.2.2,2,fill_in_blank,af,models/gemini-2.5-flash,31,0.0,0.5,0.2,,1.0,
bus_2025_q1_2_3,Business Studies,2025,1.2.3,2,fill_in_blank,en,models/gemini-2.5-flash,21,1.0,0.6667,0.8667,,1.0,
bus_2025_q1_2_3,Business Studies,2025,1.2.3,2,fill_in_blank,af,models/gemini-2.5-flash,19,0.0,0.3333,0.1333,,1.0,
bus_2025_q1_2_4,Business Studies,2025,1.2.4,2,fill_in_blank,en,models/gemini-2.5-flash,16,1.0,0.5,0.8,,0.9,
